Предмет,Ссылка на ВК
История и обществознание,https://vk.com/id752935587
Математика,https://vk.com/id1064866315
Биология,https://vk.com/vera_sklva
Физика,https://vk.com/ivan_kprnv
Литература,https://vk.com/drredchina
Русский язык,https://vk.com/al_palna
